field_id,year,crop_code,crop_name,dominant_pct,centroid_lon,centroid_lat,area_acres,region,geometry_wkt
FIELD_0001,2020,122,Developed/Low Intensity,47.4,-96.16565210133837,42.7792579211614,6353.158446235238,great_plains,"POLYGON ((-96.17366932034082 42.77124070215894, -96.15763488233591 42.77124070215894, -96.15763488233591 42.78727514016385, -96.17366932034082 42.78727514016385, -96.17366932034082 42.77124070215894))"
FIELD_0006,2020,1,Corn,46.5,-95.08770859801957,40.59167011185269,4184.663707509324,great_plains,"POLYGON ((-95.09421527407207 40.58516343580019, -95.08120192196708 40.58516343580019, -95.08120192196708 40.598176787905196, -95.09421527407207 40.598176787905196, -95.09421527407207 40.58516343580019))"
FIELD_0008,2020,5,Soybeans,63.0,-96.0032621784164,42.71105576835809,3130.8866010397323,great_plains,"POLYGON ((-96.00889028836212 42.705427658412354, -95.99763406847069 42.705427658412354, -95.99763406847069 42.716683878303805, -96.00889028836212 42.716683878303805, -96.00889028836212 42.705427658412354))"
FIELD_0016,2020,1,Corn,45.9,-92.02100021188915,43.36896410256588,8543.100838470966,great_plains,"POLYGON ((-92.03029708000436 43.35966723445068, -92.01170334377393 43.35966723445068, -92.01170334377393 43.3782609706811, -92.03029708000436 43.3782609706811, -92.03029708000436 43.35966723445068))"
FIELD_0017,2020,5,Soybeans,31.0,-92.7916573997418,41.4226638464324,9205.474141509474,great_plains,"POLYGON ((-92.80130794796091 41.41301329821326, -92.78200685152262 41.41301329821326, -92.78200685152262 41.43231439465154, -92.80130794796091 41.43231439465154, -92.80130794796091 41.41301329821326))"
FIELD_0001,2021,122,Developed/Low Intensity,52.0,-96.16565210133837,42.7792579211614,6353.158446235238,great_plains,"POLYGON ((-96.17366932034082 42.77124070215894, -96.15763488233591 42.77124070215894, -96.15763488233591 42.78727514016385, -96.17366932034082 42.78727514016385, -96.17366932034082 42.77124070215894))"
FIELD_0006,2021,5,Soybeans,50.8,-95.08770859801957,40.59167011185269,4184.663707509324,great_plains,"POLYGON ((-95.09421527407207 40.58516343580019, -95.08120192196708 40.58516343580019, -95.08120192196708 40.598176787905196, -95.09421527407207 40.598176787905196, -95.09421527407207 40.58516343580019))"
FIELD_0008,2021,1,Corn,63.1,-96.0032621784164,42.71105576835809,3130.8866010397323,great_plains,"POLYGON ((-96.00889028836212 42.705427658412354, -95.99763406847069 42.705427658412354, -95.99763406847069 42.716683878303805, -96.00889028836212 42.716683878303805, -96.00889028836212 42.705427658412354))"
FIELD_0016,2021,1,Corn,44.1,-92.02100021188915,43.36896410256588,8543.100838470966,great_plains,"POLYGON ((-92.03029708000436 43.35966723445068, -92.01170334377393 43.35966723445068, -92.01170334377393 43.3782609706811, -92.03029708000436 43.3782609706811, -92.03029708000436 43.35966723445068))"
FIELD_0017,2021,1,Corn,31.5,-92.7916573997418,41.4226638464324,9205.474141509474,great_plains,"POLYGON ((-92.80130794796091 41.41301329821326, -92.78200685152262 41.41301329821326, -92.78200685152262 41.43231439465154, -92.80130794796091 41.43231439465154, -92.80130794796091 41.41301329821326))"
FIELD_0001,2022,122,Developed/Low Intensity,52.0,-96.16565210133837,42.7792579211614,6353.158446235238,great_plains,"POLYGON ((-96.17366932034082 42.77124070215894, -96.15763488233591 42.77124070215894, -96.15763488233591 42.78727514016385, -96.17366932034082 42.78727514016385, -96.17366932034082 42.77124070215894))"
FIELD_0006,2022,1,Corn,49.7,-95.08770859801957,40.59167011185269,4184.663707509324,great_plains,"POLYGON ((-95.09421527407207 40.58516343580019, -95.08120192196708 40.58516343580019, -95.08120192196708 40.598176787905196, -95.09421527407207 40.598176787905196, -95.09421527407207 40.58516343580019))"
FIELD_0008,2022,5,Soybeans,65.1,-96.0032621784164,42.71105576835809,3130.8866010397323,great_plains,"POLYGON ((-96.00889028836212 42.705427658412354, -95.99763406847069 42.705427658412354, -95.99763406847069 42.716683878303805, -96.00889028836212 42.716683878303805, -96.00889028836212 42.705427658412354))"
FIELD_0016,2022,5,Soybeans,42.2,-92.02100021188915,43.36896410256588,8543.100838470966,great_plains,"POLYGON ((-92.03029708000436 43.35966723445068, -92.01170334377393 43.35966723445068, -92.01170334377393 43.3782609706811, -92.03029708000436 43.3782609706811, -92.03029708000436 43.35966723445068))"
FIELD_0017,2022,5,Soybeans,29.1,-92.7916573997418,41.4226638464324,9205.474141509474,great_plains,"POLYGON ((-92.80130794796091 41.41301329821326, -92.78200685152262 41.41301329821326, -92.78200685152262 41.43231439465154, -92.80130794796091 41.43231439465154, -92.80130794796091 41.41301329821326))"
FIELD_0001,2023,122,Developed/Low Intensity,52.0,-96.16565210133837,42.7792579211614,6353.158446235238,great_plains,"POLYGON ((-96.17366932034082 42.77124070215894, -96.15763488233591 42.77124070215894, -96.15763488233591 42.78727514016385, -96.17366932034082 42.78727514016385, -96.17366932034082 42.77124070215894))"
FIELD_0006,2023,5,Soybeans,47.2,-95.08770859801957,40.59167011185269,4184.663707509324,great_plains,"POLYGON ((-95.09421527407207 40.58516343580019, -95.08120192196708 40.58516343580019, -95.08120192196708 40.598176787905196, -95.09421527407207 40.598176787905196, -95.09421527407207 40.58516343580019))"
