mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
410340,"Galva silty clay loam, 2 to 5 percent slopes",Galva,95,Well drained,0,15,4.0,5.7,0.22,32.0,4.0,64.0,1.28,25.2,FIELD_0001
410363,"Galva silty clay loam, terrace, 0 to 2 percent slopes",Galva,95,Well drained,0,15,4.0,5.7,0.22,32.0,4.0,64.0,1.28,25.2,FIELD_0001
410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,95,Well drained,0,15,4.0,5.7,0.22,32.0,4.0,64.0,1.28,25.2,FIELD_0001
410340,"Galva silty clay loam, 2 to 5 percent slopes",Galva,95,Well drained,15,43,3.5,6.5,0.22,33.0,3.0,64.0,1.28,27.3,FIELD_0001
410363,"Galva silty clay loam, terrace, 0 to 2 percent slopes",Galva,95,Well drained,15,43,3.5,6.5,0.22,33.0,3.0,64.0,1.28,27.3,FIELD_0001
410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,95,Well drained,15,43,3.5,6.5,0.22,33.0,3.0,64.0,1.28,27.3,FIELD_0001
410351,"Radford silty clay loam, 2 to 5 percent slopes",Radford,90,Somewhat poorly drained,0,23,2.0,6.2,0.22,29.0,5.0,66.0,1.38,23.5,FIELD_0001
410351,"Radford silty clay loam, 2 to 5 percent slopes",Radford,90,Somewhat poorly drained,23,61,2.0,6.5,0.21,22.0,7.0,71.0,1.36,18.6,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,85,Well drained,0,15,3.1,5.8,0.22,32.0,5.0,63.0,1.28,25.2,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,85,Well drained,15,25,1.6,6.6,0.22,32.0,5.0,63.0,1.28,27.3,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,85,Well drained,25,79,1.5,7.0,0.19,29.0,5.0,66.0,1.33,24.7,FIELD_0001
410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Ida,80,Well drained,0,10,1.5,7.7,0.23,21.0,7.0,72.0,1.42,16.6,FIELD_0001
410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Ida,80,Well drained,10,200,0.3,8.0,0.21,20.0,6.0,74.0,1.42,15.0,FIELD_0001
410194,"Adair clay loam, dissected till plain, 5 to 9 percent slopes, eroded",Adair,90,Somewhat poorly drained,0,18,3.6,6.2,0.18,30.0,23.0,47.0,1.34,24.5,FIELD_0006
410209,"Sharpsburg silty clay loam, 2 to 5 percent slopes",Sharpsburg,90,Moderately well drained,0,20,3.8,6.2,0.22,33.0,2.0,65.0,1.31,25.5,FIELD_0006
410211,"Sharpsburg silty clay loam, 5 to 9 percent slopes",Sharpsburg,90,Moderately well drained,0,20,3.8,6.2,0.22,33.0,2.0,65.0,1.31,25.5,FIELD_0006
410212,"Sharpsburg silty clay loam, 5 to 9 percent slopes, eroded",Sharpsburg,90,Moderately well drained,0,18,3.1,5.7,0.22,34.0,2.0,64.0,1.38,27.2,FIELD_0006
410213,"Sharpsburg silty clay loam, 9 to 14 percent slopes",Sharpsburg,90,Moderately well drained,0,20,3.8,6.2,0.22,33.0,2.0,65.0,1.31,25.5,FIELD_0006
410194,"Adair clay loam, dissected till plain, 5 to 9 percent slopes, eroded",Adair,90,Somewhat poorly drained,18,43,0.6,5.8,0.1,43.0,22.0,35.0,1.38,31.5,FIELD_0006
410212,"Sharpsburg silty clay loam, 5 to 9 percent slopes, eroded",Sharpsburg,90,Moderately well drained,18,54,0.8,6.0,0.19,38.0,2.0,60.0,1.29,28.4,FIELD_0006
410209,"Sharpsburg silty clay loam, 2 to 5 percent slopes",Sharpsburg,90,Moderately well drained,20,43,3.0,5.8,0.22,35.0,2.0,63.0,1.25,24.2,FIELD_0006
410211,"Sharpsburg silty clay loam, 5 to 9 percent slopes",Sharpsburg,90,Moderately well drained,20,43,3.0,5.8,0.22,35.0,2.0,63.0,1.25,24.2,FIELD_0006
410213,"Sharpsburg silty clay loam, 9 to 14 percent slopes",Sharpsburg,90,Moderately well drained,20,43,3.0,5.8,0.22,35.0,2.0,63.0,1.25,24.2,FIELD_0006
410195,"Adair clay loam, dissected till plain, 9 to 14 percent slopes",Adair,85,Somewhat poorly drained,0,20,3.7,6.2,0.18,30.0,21.0,49.0,1.33,24.5,FIELD_0006
410201,"Shelby loam, dissected till plain, 9 to 14 percent slopes",Shelby,85,Well drained,0,18,3.3,6.0,0.18,26.0,34.0,40.0,1.39,22.0,FIELD_0006
410202,"Shelby clay loam, dissected till plain, 9 to 14 percent slopes, eroded",Shelby,85,Well drained,0,18,2.9,6.2,0.18,30.0,33.0,37.0,1.38,24.9,FIELD_0006
410214,"Sharpsburg silty clay loam, 9 to 14 percent slopes, eroded",Sharpsburg,85,Moderately well drained,0,18,3.1,5.7,0.22,34.0,2.0,64.0,1.38,27.2,FIELD_0006
410201,"Shelby loam, dissected till plain, 9 to 14 percent slopes",Shelby,85,Well drained,18,28,2.5,6.1,0.18,33.0,32.0,35.0,1.42,27.0,FIELD_0006
410202,"Shelby clay loam, dissected till plain, 9 to 14 percent slopes, eroded",Shelby,85,Well drained,18,93,1.1,6.1,0.16,34.0,30.0,36.0,1.46,26.9,FIELD_0006
410214,"Sharpsburg silty clay loam, 9 to 14 percent slopes, eroded",Sharpsburg,85,Moderately well drained,18,54,0.8,6.0,0.19,38.0,2.0,60.0,1.29,28.4,FIELD_0006
410195,"Adair clay loam, dissected till plain, 9 to 14 percent slopes",Adair,85,Somewhat poorly drained,20,33,2.7,6.0,0.18,34.0,21.0,45.0,1.37,27.0,FIELD_0006
410201,"Shelby loam, dissected till plain, 9 to 14 percent slopes",Shelby,85,Well drained,28,117,1.1,6.1,0.16,34.0,30.0,36.0,1.46,26.9,FIELD_0006
410196,"Adair clay loam, dissected till plain, 9 to 14 percent slopes, eroded",Adair,80,Somewhat poorly drained,0,18,3.6,6.2,0.18,30.0,23.0,47.0,1.34,24.5,FIELD_0006
410196,"Adair clay loam, dissected till plain, 9 to 14 percent slopes, eroded",Adair,80,Somewhat poorly drained,18,43,0.6,5.8,0.1,43.0,22.0,35.0,1.38,31.5,FIELD_0006
410184,"Colo-Judson silty clay loams, 0 to 5 percent slopes, occasionally flooded",Colo,65,Poorly drained,0,20,6.0,6.3,0.22,30.0,6.0,64.0,1.27,25.6,FIELD_0006
410184,"Colo-Judson silty clay loams, 0 to 5 percent slopes, occasionally flooded",Colo,65,Poorly drained,20,86,3.0,6.4,0.19,31.0,6.0,63.0,1.23,25.7,FIELD_0006
410184,"Colo-Judson silty clay loams, 0 to 5 percent slopes, occasionally flooded",Judson,25,Well drained,0,23,3.8,5.8,0.22,29.0,4.0,67.0,1.31,24.4,FIELD_0006
410184,"Colo-Judson silty clay loams, 0 to 5 percent slopes, occasionally flooded",Judson,25,Well drained,23,56,2.6,6.1,0.19,30.0,4.0,66.0,1.26,24.8,FIELD_0006
410340,"Galva silty clay loam, 2 to 5 percent slopes",Galva,95,Well drained,0,15,4.0,5.7,0.22,32.0,4.0,64.0,1.28,25.2,FIELD_0008
410350,"Radford silty clay loam, 0 to 2 percent slopes",Radford,95,Somewhat poorly drained,0,23,2.0,6.2,0.22,29.0,5.0,66.0,1.38,23.5,FIELD_0008
410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,95,Well drained,0,15,4.0,5.7,0.22,32.0,4.0,64.0,1.28,25.2,FIELD_0008
